model,property,mape,median,p95,p99,max,mae,rmse,nrmse_range,r2,within_1pct,within_5pct
Current MLP,Density (kg/m^3),0.43681357345821903,0.3427045311531466,1.2767249232223419,1.8572048663602996,10.99352535179528,0.0401158680558031,0.1341268749950805,0.0008099603813004637,0.9999463056953459,91.23883364233946,99.9865160964099
Current MLP,Entropy (kJ/(kg·K)),0.08056196252690656,0.057837339447105035,0.21912439421017055,0.3855515178161511,2.2984633261808645,0.014596223285391159,0.025985307788777303,0.0006908146864940117,0.9999721086848781,99.88201584358671,100.0
Current MLP,Enthalpy (kJ/kg),0.2094357134174401,0.15513277585685398,0.5525672191266814,0.9574484671454045,8.669478220025944,1.5797591714258339,2.431751771562198,0.0015541684527603016,0.9999699513083813,99.1454576099781,99.99494353615371
Current MLP,Speed of Sound (m/s),0.1242957394191628,0.09313597022248224,0.34607427225827697,0.5193006817904459,2.4732834303854574,0.8219434885516422,1.100066922756368,0.0012031502942193768,0.999975207703332,99.91404011461317,100.0
Current MLP,Cv (kJ/(kg·K)),0.005488304492637759,0.004029039963734148,0.014078414208977472,0.03529495010709062,0.7542551900675977,0.00017042575841849316,0.0003220472201328449,0.00035549299428235497,0.9999538147991959,100.0,100.0
Current MLP,Cp (kJ/(kg·K)),0.018481907275459085,0.013685493537760347,0.03753693300151908,0.12154911438249369,2.646860205718333,0.0010480156862435373,0.003999201475708211,0.00021498345598780467,0.999863636829262,99.99325804820496,100.0
Current MLP,Viscosity (μPa·s),0.17112285189027354,0.11638755445994459,0.5223291049134895,0.7424582531670384,4.185976950586855,0.020382006054093772,0.030495448598287542,0.001640673554473836,0.9999585472283813,99.68818472947918,100.0
Current MLP,Thermal Conductivity (mW/(m·K)),0.1537384264895713,0.12128067916798364,0.39393515559797965,0.6501718099916401,2.492892515825558,0.14211571390636762,0.2110295934321493,0.0014354530859231598,0.9999694012526018,99.69324119332546,100.0
Random Forest,Density (kg/m^3),0.19688624660859508,0.10932678641879615,0.6270203872205987,1.4587321606527597,26.578470859697962,0.022173149972419766,0.09881171836681793,0.0005967005276778227,0.9999708583918573,97.95887409405023,99.92415304230575
Random Forest,Entropy (kJ/(kg·K)),0.04458706198504828,0.015948726097268003,0.1485068728284072,0.5467648632461323,7.278926737968291,0.005660179660345849,0.014486056635211263,0.0003851091837869217,0.999991332105445,99.62582167537502,99.99157256025619
Random Forest,Enthalpy (kJ/kg),0.06377331903703388,0.031436246007955616,0.2090574016121397,0.5692150667510264,10.967988421147043,0.354792970272498,0.8061552654842663,0.0005152257299836848,0.9999966976395475,99.66627338614529,99.99494353615371
Random Forest,Speed of Sound (m/s),0.03237437428350768,0.015216768098001925,0.10567679007485416,0.3125572500388908,4.537013192202887,0.179738888350625,0.3913124601462535,0.0004279809635372001,0.9999968629177807,99.89549974717681,100.0
Random Forest,Cv (kJ/(kg·K)),0.0018907424763985954,0.00019798082335439985,0.0023247084202076594,0.034249949720619816,2.997825568489167,5.655424160379133e-05,0.0006567537319488698,0.0007249599936938056,0.9998079258918473,99.99157256025619,100.0
Random Forest,Cp (kJ/(kg·K)),0.012228590647171774,0.00016248501977724248,0.02221574373466309,0.22182232814400024,18.682783952188448,0.0009333348169325808,0.02060029685382612,0.0011074018248170318,0.9963817590851,99.8263947412776,99.98314512051239
Random Forest,Viscosity (μPa·s),0.039388245459495284,0.019621571158376875,0.1257047870729274,0.3607612532770121,5.348944882143739,0.00391816095473779,0.008610426833719355,0.0004632461645312055,0.9999966952935933,99.8567335243553,99.99831451205124
Random Forest,Thermal Conductivity (mW/(m·K)),0.03962141505761545,0.020562952496832557,0.12794964598117795,0.33341961171949475,5.277474072366358,0.030752435048191744,0.06673158884901577,0.00045391768796007196,0.9999969402928978,99.89381425922804,99.99831451205124
Extra Trees,Density (kg/m^3),0.10163444221297614,0.05750208529566045,0.3214055687566962,0.7268852260639633,14.432927586593577,0.011382824176759869,0.05053410094693869,0.00030516344821393803,0.9999923780569852,99.48592617562785,99.98820158435868
Extra Trees,Entropy (kJ/(kg·K)),0.02211944251916296,0.008234483594297546,0.07414585817191299,0.26374435818134084,4.011326482908418,0.0028339999283162683,0.008256710523643296,0.00021950314917285174,0.9999971840341786,99.92246755435698,100.0
Extra Trees,Enthalpy (kJ/kg),0.0337568522115292,0.017175053739119796,0.11158748929766421,0.28708960715534615,2.8366357702350333,0.18761521066678544,0.4098690094043015,0.0002619533340654494,0.9999991463551019,99.93258048204954,100.0
Extra Trees,Speed of Sound (m/s),0.01742139264837102,0.00851659983362343,0.05872706176707301,0.16046275124468726,1.8306814974032914,0.09660184002722177,0.18856295497728237,0.00020623252101003062,0.9999992715641722,99.99831451205124,100.0
Extra Trees,Cv (kJ/(kg·K)),0.0009003144853191352,0.00010464679560072692,0.001284185253997211,0.01817887704258926,0.7361372026054364,2.7021833414419922e-05,0.00025939810954079753,0.00028633754588473683,0.9999700361689211,100.0,100.0
Extra Trees,Cp (kJ/(kg·K)),0.005936790730541638,8.609785780448292e-05,0.010941763230647076,0.10730222043829848,6.5507090422509116,0.00044955286100045787,0.009401832083179575,0.0005054104841019616,0.9992463399344046,99.92415304230575,99.99325804820496
Extra Trees,Viscosity (μPa·s),0.021175615462945066,0.01095428574502441,0.06893920123484175,0.18306802521743334,1.4408385907991652,0.0020934243861398124,0.004257000978452672,0.0002290292239579891,0.9999991922238598,99.99325804820496,100.0
Extra Trees,Thermal Conductivity (mW/(m·K)),0.0216533309088502,0.011510667420045308,0.0713688219332127,0.17508281539412546,1.0387676536082069,0.016554305299439236,0.03300681849438109,0.00022451703902608616,0.9999992514440721,99.99831451205124,100.0
XGBoost,Density (kg/m^3),1.361459362176722,0.6874757038867692,3.827218732980025,15.850070743941268,119.5871986687247,0.4748788181947362,4.113353588120624,0.02483956657291844,0.9495003117188083,65.82673183886735,96.14697454913197
XGBoost,Entropy (kJ/(kg·K)),2.757633905984885,1.4960928624734127,8.465136978153044,30.3759644359644,85.72841622602832,0.4056290274960315,0.6566706050766037,0.017457468730531906,0.9821881752208764,37.249283667621775,89.82470925332883
XGBoost,Enthalpy (kJ/kg),0.9866090215669516,0.4850431524888884,2.3504928188365013,13.338701708414602,60.02324878574006,4.328261455849037,5.871394908050439,0.0037524951545228336,0.9998248259912966,79.46907129614024,97.08073487274565
XGBoost,Speed of Sound (m/s),1.4837223575708813,0.8942720988381451,3.3520140830059386,18.27193201101294,58.80180765089954,8.433377077564112,12.700884715178525,0.013891039595686244,0.9966951900053959,54.628349907298166,96.31215236811057
XGBoost,Cv (kJ/(kg·K)),0.17056541446089016,0.057031994879586566,0.3987122391473915,2.7003231014019193,17.859341419619888,0.005235247656931471,0.020886806205671016,0.023055976934023507,0.8057290780588737,97.94033372661386,99.56851508511714
XGBoost,Cp (kJ/(kg·K)),0.9065038208498326,0.2160509318643826,3.4380067162783874,15.410924960593576,77.47026959777963,0.05453997554794766,0.2629241639483002,0.014133907924281297,0.41059810722341805,84.4446317208832,96.83971009607282
XGBoost,Viscosity (μPa·s),1.7761963999149109,1.043452350651814,4.460646694073336,19.97771211982624,77.2901121380007,0.17517168883992096,0.25282022542285004,0.013601880836430014,0.9971509035642179,48.34316534636777,95.43569863475476
XGBoost,Thermal Conductivity (mW/(m·K)),1.965986026391963,1.2315795661464661,5.8864943059058605,18.811965616156883,57.544375236074494,1.4950316034271713,1.9974688816571995,0.013587065319026934,0.9972585712161797,41.975391875948084,94.29799426934098
Gaussian RBF Ridge,Density (kg/m^3),0.045389486187959,0.0073457789619985414,0.14269175289645983,0.6771739866480077,39.76545208855725,0.017279797257927974,0.19261250082007841,0.0011631412020386568,0.9998892699361419,99.35614360357323,99.94269340974212
Gaussian RBF Ridge,Entropy (kJ/(kg·K)),0.03065564157733623,0.0038378649647455806,0.10224498715000403,0.4704125356954539,13.003586737040902,0.0030364378325955037,0.017757297807354876,0.00047207453602172105,0.9999869753213062,99.60896679588741,99.97303219281982
Gaussian RBF Ridge,Enthalpy (kJ/kg),0.03884135423129239,0.006852748284546083,0.12612536910740732,0.5588704601288184,43.90255793462564,0.13402541666728066,1.9176835821563036,0.0012256198846517276,0.9999813129397814,99.46401483229394,99.94606438563964
Gaussian RBF Ridge,Speed of Sound (m/s),0.032367752642308706,0.005399310974803562,0.11171015535115576,0.5089560134532904,16.212668001069034,0.12567833723933788,0.7958504583634716,0.0008704267834318845,0.9999870239805185,99.59379740434856,99.98820158435868
Gaussian RBF Ridge,Cv (kJ/(kg·K)),0.005075885265761172,0.0005711267324718888,0.013144523038760368,0.060687192852454774,4.853505824206074,0.00015541116940039307,0.0016223829616370247,0.001790873328039014,0.9988278843083178,99.9561773133322,100.0
Gaussian RBF Ridge,Cp (kJ/(kg·K)),0.09648784563015605,0.007309981611338324,0.32350577987390605,1.559595071324878,42.474050771652976,0.006487693154558379,0.06960818717814393,0.003741899160495114,0.9586884804392682,98.32293949098265,99.7488622956346
Gaussian RBF Ridge,Viscosity (μPa·s),0.10890550579819659,0.05527137909410399,0.4624159913809258,0.6636640177612139,17.87831463887674,0.010928432718851551,0.02434301069613242,0.0013096686791372841,0.9999735861260628,99.76908815101973,99.9865160964099
Gaussian RBF Ridge,Thermal Conductivity (mW/(m·K)),0.026610363486497045,0.005476471440738293,0.0879049746233394,0.3734111524216047,17.906607546936293,0.014670450303805255,0.14246080761213928,0.0009690385248062416,0.9999860553464767,99.7522332715321,99.98145963256363
